"","ID","Name","Type","rConc","Name.1","Type.1","Value","Quality","Call","Threshold","In.Range","Out.Range","Peak.Ratio","X","X.1","Comments","PanelNumber","PlateName"
"48","S01-A48","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TNFAIP3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TNFAIP3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"49","S01-A54","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TBX21","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TBX21","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"50","S01-A53","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"51","S01-A52","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL25","Test",18.0605221,1,"Pass",0.023073164,85.1006985,67.63566752,0.922838307,NA,"IL25","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"52","S01-A51","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ICAM1","Test",19.71618974,0,"Flag",0.023073164,999,85.05953278,0,NA,"ICAM1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"53","S01-A50","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD8A","Test",23.31530904,0,"Flag",0.023073164,85.43740767,74.51576928,0.224886581,NA,"CD8A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"54","S01-A49","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR5","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"55","S01-A60","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TRAF2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TRAF2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"56","S01-A59","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"RSAD2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"RSAD2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"57","S01-A58","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"MAP2K6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"MAP2K6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"58","S01-A57","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IRF1","Test",15.01004685,0,"Flag",0.023073164,999,84.87457918,0,NA,"IRF1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"59","S01-A56","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFI44","Test",17.88958071,1,"Pass",0.023073164,78.6596072,999,1,NA,"IFI44","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"60","S01-A55","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PDL-1","Test",19.37995245,0,"Flag",0.023073164,999,76.93411964,0,NA,"PDL-1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"61","S01-A66","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TNF","Test",20.7641318,0,"Flag",0.023073164,999,83.13018259,0,NA,"TNF","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"62","S01-A65","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL7","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL7","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"63","S01-A64","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL27","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL27","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"64","S01-A63","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFNG","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFNG","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"65","S01-A62","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CTLA4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CTLA4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"66","S01-A61","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR6","Test",14.72175122,1,"Pass",0.023073164,81.85503847,999,1,NA,"CCR6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"67","S01-A72","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"VAV1","Test",17.19044767,0,"Flag",0.023073164,999,84.69952248,0,NA,"VAV1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"68","S01-A71","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"SOCS3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"SOCS3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"69","S01-A70","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"MAPK8","Test",999,0,"Flag",0.023073164,999,999,0,NA,"MAPK8","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"70","S01-A69","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IRF2","Test",14.07572681,1,"Pass",0.023073164,78.74174022,999,1,NA,"IRF2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"71","S01-A68","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFI44L","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFI44L","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"72","S01-A67","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD44","Test",17.78862274,1,"Pass",0.023073164,78.65871094,999,1,NA,"CD44","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"73","S01-A78","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TNFRSF1A","Test",19.97247442,0,"Flag",0.023073164,80.83854574,85.97488534,0.457370457,NA,"TNFRSF1A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"74","S01-A77","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL7R","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL7R","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"75","S01-A76","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL2RA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL2RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"76","S01-A75","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL10","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL10","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"77","S01-A74","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"FOXP3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"FOXP3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"78","S01-A73","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD28","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD28","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"79","S01-A84","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ZAP70","Test",999,0,"Flag",0.023073164,999,999,0,NA,"ZAP70","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"80","S01-A83","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"STAT1","Test",15.79406737,1,"Pass",0.023073164,81.19547379,63.02023888,0.975425986,NA,"STAT1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"81","S01-A82","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"MX1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"MX1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"82","S01-A81","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IRF4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IRF4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"83","S01-A80","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFIT1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFIT1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"84","S01-A79","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CEACAM1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CEACAM1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"85","S01-A90","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TNFRSF1B","Test",18.78934742,1,"Pass",0.023073164,84.38190185,66.70251808,0.921472794,NA,"TNFRSF1B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"86","S01-A89","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"NFKB1","Test",13.23226024,1,"Pass",0.023073164,78.82240341,85.04521927,0.886854115,NA,"NFKB1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"87","S01-A88","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"88","S01-A87","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL12B","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL12B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"89","S01-A86","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"GAPDH","Test",9.148794196,1,"Pass",0.023073164,82.26313406,999,1,NA,"GAPDH","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"90","S01-A85","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD3E","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD3E","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"91","S01-A96","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ZEB2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"ZEB2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"92","S01-A95","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"STAT3","Test",14.48764805,1,"Pass",0.023073164,78.40983349,999,1,NA,"STAT3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"93","S01-A94","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"NUR77","Test",999,0,"Flag",0.023073164,999,999,0,NA,"NUR77","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"94","S01-A93","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IRF7","Test",19.7775382,0,"Flag",0.023073164,999,84.46162979,0,NA,"IRF7","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"95","S01-A92","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFIT3","Test",13.11522914,1,"Pass",0.023073164,81.60239755,65.7441991,0.975916419,NA,"IFIT3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"96","S01-A91","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CXCL10","Test",16.49005498,1,"Pass",0.023073164,84.72369508,67.14590968,0.846577774,NA,"CXCL10","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"97","S01-A01","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ACTA2","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"98","S01-A02","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD36","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"99","S01-A03","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD8A","Test",25.0135312659644,1,"Pass",0.021487681662316,85.0623997826816,999,1,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
