"","cellSource","probe","age","SPA","SPAM","SPAMcell","cellType","kmeans.cluster","kmeans.cluster.1","ADAMTS2","CD3E","CXCR4","B2M","FYN","RPL13A","RAC2_1","CD53","IL7R","RAC2_2","CD44","TNFAIP3","CDC42_2","JAK1","CDC42_1","GAPDH","TGFB1","CD52","NFKB1","STAT5B","HIF1A","ZAP70","TNFRSF1B","FURIN","IRF1","CD28","CD8A","CTNNB1","THBS1","STAT3","TCF7","IFNGR1_2","STAT4","IL25","TGFBR2","REG3G","RAC1_2","LY6E","RAC1_1","CMA1","ITGB2","FFAR2","CCL24","IFIT3","IFNGR1_1","ITGAL","CXCL2","ANG","CCR7","CD40","CCR6","BCL2","CCR2","F2R","CCR3","CXCL10_2","PDCD1_2","IRF9","IL12RB1_1","MMP28","IFIT1","ICAM1","FZD1","GSK3A","PTEN","IL1B","IFI44","ISG15","CTLA4","PI3","TPSB2","HMGB1","CXCL10_1","SOCS3","TNF_2","IL22","CXCR3","STAT1","ICOS","ITGB1","RORC","IFI44L","JAK2","NLRP3","ITGA4","GATA3","CCL8","TNF_1","IFNAR2","CCR5","IRF2","NR4A1","CEACAM1","CCL3","LGALS3","IL4R","C3_1","C3_2","ZEB2","CAMP","IL12RB1_2","GRN","F2RL2","BCL6","FNDC4","IRF4","VAV1","LRP6","VEGFB","WNT1","IFNAR1","TBX21","TYK2","GSK3B","TNFRSF1A_1","TNFRSF1A_2","OSM","IRF7","CCR4","CFH","PTGES2","IFNG_2","IFNG_1","IL2RA","CSF1","EGR2","FOXP3","APP","TRAF3IP2","CSF2","PDGFB","PDGFA","EGR1","CCR1","CD4","AREG","TRAF2","IL26","TSPAN2","AIM2","MMP25","CD274","LEF1","PPARA","TGFA","FGF9","ATOH8","IL17A_1","MMP9","HLA.DRA","P3H4","CRISPLD2","PDCD1_1","SDC1","TNFRSF21","IL17A_2","IL1A","IGF1","HGF","NPNT","PPARGC1A","IL10","RHO","JAG1","TGFB3","C5_2","IL21","ENG","IL5RA","IL4","HMOX1","C5_1","VEGFA","IL2","IL3","MMP2","HBEGF","MMP24","FGFR2","CXCL9","IL7","CSF1R","DEFB1","ECM1","EGFL6","F13A1","IL5","LRP5","PPARG","SYK","VEGFC","VWF","cohort"
"238","tissue","RUS012","uninfl","tissue.RUS012.uninfl","tissue.RUS012.uninfl.FR","tissue.RUS012.uninfl.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_1W-UI-CO-CECU-LPL_MAIT_5OPRU_C6",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57235158,0,0,0,0,0,0,0,0,0,0,0,0,8.90484692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656529729999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226717910000001,0,0,0,0,0,11.41441657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"174","tissue","RUS012","infl","tissue.RUS012.infl","tissue.RUS012.infl.FR","tissue.RUS012.infl.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_2R-I-CO-DESC-LPL_MAIT_5OPRU_A4",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.152115729999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78834748,0,0,0,0,0,0,0,0,0,0,0,0,8.44331435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78143004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6986297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"251","tissue","RUS012","uninfl","tissue.RUS012.uninfl","tissue.RUS012.uninfl.FR","tissue.RUS012.uninfl.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_2W-UI-CO-ASCN-LPL_MAIT_5OPRU_A7",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06078082,0,0,0,0,0,0,0,0,0,0,0,0,8.77310865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45687611,0,0,0,0,0,10.94190917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08855859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"25","blood","RUS012","blood","blood.RUS012.blood","blood.RUS012.blood.FR","blood.RUS012.blood.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_BL_MAIT_5OPRU_D9",3,3,0,0,0,0,0,0,1.12902014,0,0,0,0,0,0.206535219999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83865549,0,0,0,0,0,0,0,0,0,0,0,0,9.17090507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37571175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61333009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"31","blood","RUS012","blood","blood.RUS012.blood","blood.RUS012.blood.FR","blood.RUS012.blood.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_BL_MAIT_5OPRU_F9",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.878802669999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57332356,0,0,0,0,0,0,0,0,0,0,0,0,8.47344345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95354505,0,0,0,0,0,11.441494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979355800000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"319","tissue","RUS013","infl","tissue.RUS013.infl","tissue.RUS013.infl.FR","tissue.RUS013.infl.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_1R-I-CO-RECT-LPL_MAIT_5OPRU_H6",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721012009999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94421791,0,0,0,0,0,0,0,0,0,0,0,0,9.08872496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40669935,0,0,0,0,0,11.1712688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17814676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"267","tissue","RUS012","uninfl","tissue.RUS012.uninfl","tissue.RUS012.uninfl.FR","tissue.RUS012.uninfl.","FR_RNA_UCM_HU_20210727_P2_SEEP05_CH_JD_RUS012_1W-UI-CO-CECU-LPL_MAIT_5OPRU_A5",3,3,0,0,0,0,0,0,1.53083659,0,0,1.52169823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16411266,0,0,0,0,0,0,0,0,0,0,0,0,7.57420528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68323346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18162688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85571809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"165","tissue","RUS012","infl","tissue.RUS012.infl","tissue.RUS012.infl.FR","tissue.RUS012.infl.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_1R-I-CO-DESC-LPL_MAIT_5OPRU_F1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,2.14801374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08180818,0,0,0,0,0,0,0,0,0,0,0,0,8.62063905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13140399,0,0,0,0,0,11.13418539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"329","tissue","RUS013","infl","tissue.RUS013.infl","tissue.RUS013.infl.FR","tissue.RUS013.infl.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_3R-I-CO-RECT-IEL_MAIT_5OPRU_H9",3,3,0,0,0,0,0,0,0.61605887,0,0,0.57139416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28086216,0,0,0,0,0,0,0,0,0,0,0,0,8.57505683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24794293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36051559,0,0,0,0,0,11.07652056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"222","tissue","RUS012","infl","tissue.RUS012.infl","tissue.RUS012.infl.FR","tissue.RUS012.infl.","FR_RNA_UCM_HU_20210727_P2_SEEP05_CH_JD_RUS012_2R-I-CO-DESC-LPL_MAIT_5OPRU_G4",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.968159329999999,0,2.38035947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70402451,0,0,0,0,0,0,0,0,0,0,0,0.066614229999999,7.90492999,0,0,0,0,0,0,0,0,0,0.430594360000001,0,0,0.77527005,0,0,0,0,0,0,0,0,0,0,0.326677740000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62203415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42256454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98553668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"266","tissue","RUS012","uninfl","tissue.RUS012.uninfl","tissue.RUS012.uninfl.FR","tissue.RUS012.uninfl.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_2W-UI-CO-ASCN-LPL_MAIT_5OPRU_H8",3,3,0,0,0,0,0,0,1.64276869,0,0,1.75036691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47644442,0,0,0,0,0,0,0,0,0,0,0,0,9.38289603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2521723,0,0,0,0,0,11.2025981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227837730000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
